I	At1	At2	Class
761	1.29	0.153	-1.0
4568	0.379	1.74	-1.0
1976	1.6	-0.183	-1.0
5183	-0.285	1.98	-1.0
182	0.6659999999999999	1.36	1.0
2003	-1.08	0.35600000000000004	1.0
4279	-0.4	-1.15	-1.0
1335	2.51	1.3	1.0
1212	1.34	-0.6890000000000001	-1.0
1898	1.32	-0.14400000000000002	-1.0
2178	0.638	1.11	-1.0
4253	0.401	-1.31	-1.0
4625	0.212	1.81	-1.0
4325	-1.45	-1.22	1.0
2541	1.4	0.43	-1.0
2735	0.875	1.82	1.0
1930	-0.39399999999999996	-0.33799999999999997	1.0
891	-0.716	-0.19399999999999998	1.0
1420	0.0828	-0.879	1.0
4663	1.31	0.11800000000000001	-1.0
4184	-1.22	0.177	1.0
3439	-1.78	-0.5720000000000001	1.0
1786	-1.11	-0.44	1.0
4051	1.17	1.37	-1.0
1188	-0.16699999999999998	1.07	-1.0
5190	-1.67	-1.5	1.0
2661	1.57	0.171	-1.0
1461	0.271	0.38	1.0
628	-0.287	-0.726	1.0
1211	0.838	0.603	-1.0
554	-0.34600000000000003	-1.5	-1.0
2068	0.8740000000000001	1.79	-1.0
4484	-0.972	0.473	1.0
5002	0.544	1.41	-1.0
4866	-0.58	-1.09	-1.0
4912	-1.29	-0.754	1.0
198	1.15	0.243	-1.0
5257	-0.594	1.24	-1.0
3877	-0.0232	-1.24	-1.0
3109	-0.46299999999999997	-1.01	-1.0
3481	-0.369	-1.14	-1.0
4213	0.599	1.14	-1.0
4262	0.22899999999999998	0.613	1.0
376	-0.0381	-0.7909999999999999	-1.0
4868	-0.622	0.804	1.0
3472	1.09	0.614	-1.0
2721	0.7859999999999999	0.945	-1.0
196	-0.0674	1.85	-1.0
2609	-1.65	-0.731	1.0
4636	-0.863	0.174	1.0
5152	-0.184	-0.0314	1.0
1747	0.13699999999999998	-0.862	-1.0
1133	0.904	1.04	-1.0
4250	-1.84	-0.366	1.0
861	-0.474	-0.9109999999999999	-1.0
4861	1.26	0.14400000000000002	-1.0
1926	0.855	-0.265	1.0
5151	0.753	1.89	1.0
1476	-0.26899999999999996	0.961	1.0
313	0.40399999999999997	-0.868	-1.0
166	-1.52	0.66	-1.0
4201	-0.867	1.09	-1.0
3898	-0.16899999999999998	-0.601	1.0
2451	0.0647	-1.22	-1.0
5140	-0.0957	-1.06	-1.0
1279	-0.11599999999999999	-1.36	-1.0
569	-0.9	1.49	-1.0
2365	1.15	-1.69	1.0
4454	0.5329999999999999	1.76	-1.0
2544	-0.545	-1.31	-1.0
1062	-0.254	0.40299999999999997	1.0
4043	-0.563	1.29	-1.0
2369	0.589	0.557	1.0
941	0.604	1.03	-1.0
4096	-1.29	-0.23	1.0
1734	1.45	-0.188	-1.0
1292	-0.45	-1.59	-1.0
175	-0.20199999999999999	0.7120000000000001	1.0
572	0.743	-1.18	1.0
369	-1.39	-0.68	1.0
964	0.486	0.245	1.0
3137	0.271	-1.28	-1.0
1569	-0.479	0.0719	1.0
3201	0.423	1.74	1.0
5108	0.35200000000000004	0.33299999999999996	1.0
2399	0.247	-0.233	1.0
854	-1.08	1.31	-1.0
2450	-0.21100000000000002	-0.49200000000000005	1.0
3361	1.19	0.5539999999999999	-1.0
2214	-0.0683	-0.40399999999999997	1.0
929	-0.995	-1.39	-1.0
4450	-1.87	0.373	-1.0
4465	1.55	-0.0305	-1.0
4054	-0.23800000000000002	1.74	1.0
1246	2.01	-0.695	-1.0
598	-0.41100000000000003	0.727	1.0
